gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Segment,Segment_Name,Risk_Level,Priority,Retention_Action
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0.8168908084059281,3,New Low-Value Customers,High,Critical,Welcome Offer + Onboarding Support 
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,0.0957348188956044,0,Loyal Long-Term Customers,Low,Normal,Personalized Upsell & Cross-Sell Offers
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,0.5210228536383932,3,New Low-Value Customers,Medium,High,Welcome Offer + Onboarding Support 
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,0.0584770121204985,0,Loyal Long-Term Customers,Low,Normal,Personalized Upsell & Cross-Sell Offers
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0.8628780629792369,1,High-Risk Premium Customers,High,Critical,Proactive Discount + Priority Suppor
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,0.9115347107190828,1,High-Risk Premium Customers,High,Critical,Proactive Discount + Priority Suppor
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,0.6936217073531388,1,High-Risk Premium Customers,High,High,Proactive Discount + Priority Suppor
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,0.5127205249834706,3,New Low-Value Customers,Medium,High,Welcome Offer + Onboarding Support 
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,0.8168501250525655,1,High-Risk Premium Customers,High,Critical,Proactive Discount + Priority Suppor
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,0.0251598843972384,0,Loyal Long-Term Customers,Low,Normal,Personalized Upsell & Cross-Sell Offers
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,0.3904470595824487,3,New Low-Value Customers,Medium,Normal,Welcome Offer + Onboarding Support 
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0.0707749119079918,3,New Low-Value Customers,Low,Normal,Welcome Offer + Onboarding Support 
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,0.377367857750083,2,Premium Loyal Customers,Medium,Normal,VIP Rewards & Exclusive Loyalty Benefits
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,0.7032537992959781,2,Premium Loyal Customers,High,Critical,VIP Rewards & Exclusive Loyalty Benefits
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0.689864723922429,1,High-Risk Premium Customers,High,High,Proactive Discount + Priority Suppor
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,0.0688737895333838,2,Premium Loyal Customers,Low,Normal,VIP Rewards & Exclusive Loyalty Benefits
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,0.0294092970204589,0,Loyal Long-Term Customers,Low,Normal,Personalized Upsell & Cross-Sell Offers
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,0.1031949290571939,2,Premium Loyal Customers,Low,Normal,VIP Rewards & Exclusive Loyalty Benefits
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,0.281199987600115,3,New Low-Value Customers,Low,Normal,Welcome Offer + Onboarding Support 
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,0.7863487115339652,1,High-Risk Premium Customers,High,Critical,Proactive Discount + Priority Suppor
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,0.8835690864305249,3,New Low-Value Customers,High,Critical,Welcome Offer + Onboarding Support 
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0.1529301488129566,3,New Low-Value Customers,Low,Normal,Welcome Offer + Onboarding Support 
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0.4173752594573754,3,New Low-Value Customers,Medium,High,Welcome Offer + Onboarding Support 
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,0.042677518468916,0,Loyal Long-Term Customers,Low,Normal,Personalized Upsell & Cross-Sell Offers
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,0.0579660440840607,0,Loyal Long-Term Customers,Low,Normal,Personalized Upsell & Cross-Sell Offers
